layer_idx,RMS,first20
0,0.02433702,-0.016571658|0.011863679|-0.008001122|0.038968068|0.009841573|0.028734054|-0.0153303|-0.0073636305|-0.01596582|0.013454395|-0.03221342|-0.010026213|-0.03948504|0.033570576|0.006708559|0.028665405|-0.012556794|-0.0022408282|0.0017455867|0.005125271
1,0.02806174,-0.009598438|0.021940678|0.0034538596|-0.04332358|0.039855506|0.012032752|-0.025169892|-0.012265331|-0.013762019|0.011934478|-0.036073834|-0.0005545111|-0.020207144|0.04404825|0.014308664|0.027139995|-0.026630566|-0.0011625038|0.0013795282|0.0057624993
2,0.03069554,-0.020823676|0.03324709|0.004950565|-0.0005618939|0.05706212|-0.015114099|-0.022231517|-0.016342564|-0.023942834|-0.00010284968|-0.031846754|-0.033162404|-0.031229943|0.056599297|0.022992956|0.023830764|-0.035971362|0.019735789|0.007899084|-0.00079561444
3,0.04258270,-0.034962524|0.05829595|0.01460835|-0.006807885|0.07923559|-0.019942721|-0.028492536|-0.01825999|-0.0057442756|0.010903112|-0.024863156|-0.030186683|-0.081069484|0.015879309|0.03530298|0.043700024|-0.014343688|0.024052164|0.031315695|-0.00018144958
4,0.05154778,-0.027511712|0.07848194|0.019327823|0.035942838|0.083334155|-0.029717453|-0.029472645|-0.01732618|-0.018478593|0.014983291|-0.019339904|-0.0033934452|-0.10776396|0.019211296|0.031999882|0.045807812|-0.036368795|0.04344374|0.084848285|-0.028971937
5,0.05959306,-0.039540075|0.08619102|0.01377909|0.049245413|0.06593084|0.0069131143|-0.0024550762|-0.044023328|0.0028384905|0.022685267|0.0002466347|0.0037295856|-0.09914622|-0.01952912|0.030892424|0.029461753|-0.06998995|0.07508094|0.11369733|-0.037495565
6,0.06695686,-0.052980117|0.082773864|0.045903713|0.050023094|0.06149233|0.02922467|0.033986982|-0.07331143|-0.02225455|0.0039622616|0.0001397889|0.034746822|-0.13411307|-0.014383398|0.042252038|0.034114588|-0.08212135|0.074015744|0.11682532|-0.038151268
7,0.08029787,-0.117131054|0.091419525|0.042051714|0.06608368|0.08348665|0.03023516|-0.0075539537|-0.07246948|-0.030569103|0.034860257|0.027468132|0.009485157|-0.14399475|-0.018300515|0.07572383|-0.004289083|-0.13669083|0.05335496|0.09788962|-0.05875855
8,0.09381104,-0.08992599|0.09976928|-0.0041305535|0.09024446|0.07181139|0.04733458|0.0074577956|-0.1464181|0.010567598|0.022324895|0.07088336|-0.022355339|-0.1485004|-0.026264433|-0.009587318|-0.041974757|-0.0932418|0.048633203|0.1753217|0.028059449
9,0.10336812,-0.10906766|0.13541044|-0.013434986|0.026646186|0.040200114|0.06764799|-0.04440465|-0.122175604|-0.015693992|0.007602837|0.10111233|-0.08396947|-0.1568406|-0.1077559|0.011057651|-0.027342565|0.011556953|0.08469563|0.16534789|0.01791124
10,0.11307232,-0.1269574|0.13608423|0.04003842|0.025190186|0.124233305|0.044899896|0.01128234|-0.08025938|-0.012800068|0.0025230423|0.10661198|-0.022588037|-0.14394|-0.16954942|-0.026019815|0.018578503|-0.009783115|0.07090613|0.13696595|0.06611146
